יידיש|עברית|גרויס|פארשפארט|שטאפל
רוי:העמד|חולצה|1728||
רוי:יובילי ליניע|קו ג'ובילי|1729||
רוי:ארדאהאן|ארדהאן|1731||
רוי:ה' חשוון|ה' בחשוון|1733||1
רוי:ווערד|ערך (אתיקה)|1741||
"רוי:ה'רל""ח"|"ה'רל""ח"|1742||1
"רוי:ה'של""ג"|"ה'של""ג"|1742||1
"רוי:ד'תתקס""ד"|"ד'תתקס""ד"|1743||1
רוי:ליפן|שפתיים|1743||
"רוי:ה'רע""ט"|"ה'רע""ט"|1744||1
"רוי:ה'רל""ה"|"ה'רל""ה"|1745||1
"רוי:ה'רס""ח"|"ה'רס""ח"|1745||1
"רוי:ה'ק""ם"|"ה'ק""ם"|1746||1
"רוי:ה'רצ""ב"|"ה'רצ""ב"|1746||1
"רוי:ה'של""ו"|"ה'של""ו"|1746||1
"רוי:כ""ג אב"|"כ""ג באב"|1746||1
"רוי:ה'רס""ב"|"ה'רס""ב"|1747||1
רוי:רבי גבריאל צינער|גבריאל צינר|1748||
רוי:פארדייאונג|עיכול|1749||
"רוי:ה'שט""ז"|"ה'שט""ז"|1750||1
"רוי:ה'שס""ז"|"ה'שס""ז"|1752||1
רוי:מערב|מערב|1752||
"רוי:ה'רפ""ו"|"ה'רפ""ו"|1753||1
"רוי:ה'שי""ג"|"ה'שי""ג"|1753||1
"רוי:ה'תכ""ד"|"ה'תכ""ד"|1753||1
"רוי:ה'תמ""ד"|"ה'תמ""ד"|1753||1
"רוי:ה'תנ""ה"|"ה'תנ""ה"|1753||1
"רוי:ה'רע""ב"|"ה'רע""ב"|1754||1
"רוי:ה'שפ""ד"|"ה'שפ""ד"|1754||1
"רוי:ה'שפ""ז"|"ה'שפ""ז"|1754||1
"רוי:ה'שצ""ז"|"ה'שצ""ז"|1754||1
"רוי:ה'תי""א"|"ה'תי""א"|1754||1
"רוי:ה'תס""ה"|"ה'תס""ה"|1754||1
"רוי:ה'תפ""ב"|"ה'תפ""ב"|1754||1
"רוי:ה'תצ""ה"|"ה'תצ""ה"|1754||1
רוי:בעקער סטריט אונטערגרונט סטאנציע|תחנת הרכבת התחתית רחוב בייקר|1756||
רוי:ברעך-נוס|אגוז הקיא|1756||
"רוי:ה'שי""ט"|"ה'שי""ט"|1757||1
"רוי:ה'תקי""ט"|"ה'תקי""ט"|1763||1
"רוי:כ""ח אב"|"כ""ח באב"|1763||1
"רוי:ה'תקי""ב"|"ה'תקי""ב"|1764||1
"רוי:ה'תק""ץ"|"ה'תק""ץ"|1765||1
"רוי:ה'תקל""ט"|"ה'תקל""ט"|1765||1
רוי:לאקס|לקס|1766||
רוי:בעקעריי|מאפייה|1767||
