יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:פשעווארסק (חסידות),חסידות פשעווארסק,3972,,
רוי:רבי משה מרגליות,משה מרגלית,4007,,
רוי:תורה ודעת,ישיבת תורה ודעת,4010,,
רוי:מאראנצן זאפט,מיץ תפוזים,4011,,
רוי:ראדאשיץ,ראדושיצה,4025,,
רוי:רבי חיים מרדכי מרגליות,חיים מרדכי מרגליות,4029,,
רוי:מאכניווקא,מכנובקה,4035,,
רוי:רבי מנחם מענדל אייכנשטיין,רבי מנחם מנדל אייכנשטיין,4038,,
רוי:מסכת נדה,מסכת נידה,4055,,
רוי:שמעון שוואב,שמעון שוואב,4064,,
רוי:רבי יהושע גרינוואלד,יהושע גרינוולד,4070,,
רוי:מסכת מגילה,מסכת מגילה,4073,,
רוי:סטראבערי,תות שדה (סוג),4091,,
רוי:רבי משה יהודה ליב שפירא,משה יהודה ליב שפירא,4094,,
רוי:קדש הקדשים,קודש הקודשים,4098,,
רוי:רבי צבי מנחם פון האניפאלי,צבי מנחם אוירבך,4101,,
רוי:רבי ישראל יוסף אונגאר,ישראל יוסף אונגר,4109,,
רוי:רבי משה אליקים בריעה אונגאר,משה אליקים בריעה אונגר,4109,,
רוי:שטעפאנעשט,שטפנשט,4112,,
רוי:נעמן,נעמן (דמות מקראית),4113,,
רוי:אבישי בן צרויה,אבישי בן צרויה,4121,,
רוי:שם,שם בן נח,4121,,
רוי:רבי שלום דוד אונגאר,שלום דוד אונגר,4122,,
רוי:ראדין,ראדין,4130,,
רוי:רבי אלעזר בן יהודה איש ברתותא,רבי אלעזר בן יהודה איש ברתותא,4133,,
רוי:מסכת תענית,מסכת תענית,4151,,
רוי:רבי יצחק ירוחם דיסקין,יצחק ירוחם דיסקין,4157,,
רוי:סלאבאדקע,סלובודקה,4159,,
רוי:פאפירוס,גומא פפירוס,4160,,
רוי:רבי מרדכי פון קרעמניץ,מרדכי מקרמניץ,4163,,
רוי:שרויפן-ציער,מברג,4165,,
רוי:רבי יהודה מודרן,יהודה מודרן,4167,,
רוי:רבי מאיר מרגליות,מאיר מרגליות,4177,,
רוי:רבי שמואל החסיד,שמואל החסיד,4179,,
רוי:פיער דע פערמא,פייר דה פרמה,4215,,
רוי:ארשעווע,אירשבה,4223,,
רוי:שאדיק,שאדק,4224,,
רוי:וויינטרויבן,עינב,4231,,
רוי:פאיע,אופאי,4237,,
רוי:רבי אלעזר ראזענפעלד,אלעזר רוזנפלד,4249,,
