ארטיקל|גרויס|ערך|גודל
רוי:וויליאם שעיקספיר|17339|ויליאם שייקספיר|43661
רוי:פרעדעריק שאפען|2273|פרדריק שופן|43812
רוי:הונדערט-יעריגע מלחמה|1714|מלחמת מאה השנים|44514
רוי:זעלבסטמארד אטאקע|3360|פיגוע התאבדות|44549
רוי:וואקסין|6330|חיסון|44913
רוי:אטא פאן ביסמארק|1727|אוטו פון ביסמרק|46343
רוי:טרעבלינקע|2521|טרבלינקה|46397
רוי:שניי|19575|שלג|46714
רוי:פרוי|1232|אישה|47161
רוי:משכן|2257|המשכן|48048
רוי:עדה החרדית|7961|העדה החרדית|48086
רוי:אייכמאן פראצעס|979|משפט אייכמן|49317
רוי:חנוכה ליכט|9055|הדלקת נרות חנוכה|50688
רוי:מנורה|1395|המנורה|50923
"רוי:רמח""ל"|9955|"רמח""ל"|51312
רוי:אינדיע|23839|הודו|51584
רוי:אשור|1145|אשור|51881
רוי:בלו טוט|833|בלוטות'|52297
רוי:אדאלף אייכמאן|1986|אדולף אייכמן|53597
רוי:ליטעראטור|1408|ספרות|53643
רוי:נאבעל פריז|4034|פרס נובל|54761
רוי:מארקסיזם|1700|מרקסיזם|55383
רוי:יוליוס קייסער|2952|יוליוס קיסר|57578
רוי:שאף|2752|כבש הבית|57763
רוי:חינוך|3748|חינוך|58172
רוי:כינע|155103|הרפובליקה העממית של סין|58375
רוי:לערנען|879|למידה|59105
רוי:וויקיפעדיע|16410|ויקיפדיה|61682
באַניצער:תנא קמא/וויקיפעדיע|16248|ויקיפדיה|61682
רוי:טייך|20094|נהר|62180
רוי:ניו יארק סיטי|18107|ניו יורק|64901
רוי:מדינת ישראל-אראבישע קאנפליקט|29968|הסכסוך הישראלי-ערבי|65709
רוי:רוסלאנד|162800|רוסיה|65850
רוי:ענגליש|19081|אנגלית|66971
רוי:העליקאפטער|1399|מסוק|67773
רוי:אנארכיזם|1662|אנרכיזם|69551
רוי:פארב|930|פיגמנטי צביעה|69601
רוי:שמיטה|7237|שמיטה|71586
רוי:פאראייניגטע פעלקער|55420|האומות המאוחדות|73909
רוי:וואולקאן|1803|הר געש|74766
רוי:מעקינטאש|3341|מקינטוש|75370
רוי:קריפטאגראפיע|3562|קריפטוגרפיה|78509
רוי:שאך (שפיל)|18632|שחמט|79146
רוי:ביטקוין|2944|ביטקוין|84667
רוי:פויגל|2657|עופות|85569
רוי:אייזיק ניוטאן|17737|אייזק ניוטון|91110
רוי:בריטישער מאנדאט|2707|המנדט הבריטי|95136
רוי:קינות|2163|קינות לתשעה באב|98243
רוי:בערלינער וואנט|7855|חומת ברלין|101354
רוי:דזשארזש וואשינגטאן|2878|ג'ורג' וושינגטון|108284
"רוי:רמב""ן"|1243|"רמב""ן"|110669
רוי:ים המלח|1664|ים המלח|111880
רוי:גאטפריד ווילהעלם לייבניץ|4225|גוטפריד וילהלם לייבניץ|124711
רוי:מיכאיל גארבאטשאוו|8999|מיכאיל גורבצ'וב|125094
רוי:הר הבית|2981|הר הבית|135636
רוי:וולאדימיר פוטין|6877|ולדימיר פוטין|152083
רוי:אמעריקאנער בירגערקריג|1298|מלחמת האזרחים האמריקנית|178120
רוי:קאוויד-19 פאנדעמיק|3420|מגפת הקורונה|191074
